Blood group	Term	OR	95% CI	p-value
B+	respiratory disorders	0.983	0.842-1.147	0.83
O-	age 	0.948	0.825-1.089	0.45
O-	sex (male)	0.942	0.735-1.207	0.64
O-	ethnicity (Hispanic)	0.817	0.603-1.107	0.19
O-	ethnicity (Other)	0.988	0.353-2.765	0.98
O-	ethnicity (Missing)	1.343	0.941-1.916	0.1
O-	race (Asian)	0.309	0.097-0.985	0.047
O-	race (Black)	0.430	0.297-0.622	7.5e-06
O-	race (Other)	0.759	0.552-1.044	0.09
O-	race (Missing)	0.654	0.451-0.948	0.025
O-	cardiovascular disorders	0.686	0.466-1.011	0.057
O-	diabetes mellitus	1.034	0.780-1.371	0.81
O-	hypertension	1.591	1.101-2.299	0.013
O-	obesity	1.037	0.817-1.317	0.77
O-	respiratory disorders	1.221	0.923-1.616	0.16
O+	age 	0.959	0.908-1.013	0.13
O+	sex (male)	1.045	0.948-1.153	0.37
O+	ethnicity (Hispanic)	1.501	1.333-1.690	2.1e-11
O+	ethnicity (Other)	1.671	1.124-2.486	0.011
O+	ethnicity (Missing)	1.086	0.934-1.262	0.28
O+	race (Asian)	0.970	0.703-1.337	0.85
O+	race (Black)	1.355	1.190-1.542	4.2e-06
O+	race (Other)	1.244	1.094-1.415	0.00089
O+	race (Missing)	1.264	1.086-1.472	0.0024
O+	cardiovascular disorders	1.101	0.958-1.266	0.17
O+	diabetes mellitus	0.951	0.849-1.064	0.38
O+	hypertension	0.902	0.789-1.030	0.13
O+	obesity	1.023	0.931-1.125	0.64
O+	respiratory disorders	0.985	0.884-1.097	0.78
Rh-neg	age 	0.951	0.865-1.045	0.3
Rh-neg	sex (male)	0.872	0.734-1.035	0.12
Rh-neg	ethnicity (Hispanic)	0.758	0.617-0.932	0.0085
Rh-neg	ethnicity (Other)	1.047	0.534-2.052	0.89
Rh-neg	ethnicity (Missing)	1.080	0.843-1.383	0.54
Rh-neg	race (Asian)	0.356	0.180-0.705	0.0031
Rh-neg	race (Black)	0.434	0.340-0.554	2e-11
Rh-neg	race (Other)	0.633	0.505-0.793	6.8e-05
Rh-neg	race (Missing)	0.671	0.520-0.866	0.0021
Rh-neg	cardiovascular disorders	0.915	0.718-1.167	0.47
Rh-neg	diabetes mellitus	0.933	0.765-1.137	0.49
Rh-neg	hypertension	1.138	0.902-1.436	0.28
Rh-neg	obesity	0.978	0.829-1.152	0.79
Rh-neg	respiratory disorders	1.071	0.888-1.292	0.47
