blood_group	term	estimate	std.error	statistic	p.value
A_pos	resp_diseases	0.11514709375711196	0.11298245573337837	1.0191590633225553	0.30812745770658523
A_pos	diabetes	-0.1206834800327984	0.11218596462155822	-1.0757449065924174	0.2820413578164454
A_pos	overweight	-0.19204649348211	0.13506218369272693	-1.4219116575149204	0.15505189855765097
AB	(Intercept)	-4.030295495476308	0.3757863713309519	-10.724964508962621	7.771690342788942e-27
AB	sex	0.2567206646803893	0.19805414857020667	1.2962145278637593	0.19490158574550967
AB	age	0.011666197941563539	0.00493609133048707	2.3634485588848237	0.018105740070961558
AB	hypertension	0.11526728523370637	0.3913527632334189	0.29453550878585777	0.768348734001873
AB	cv_diseases	-0.47036703750696335	0.4033104548398293	-1.1662654212466792	0.243507149186765
AB	resp_diseases	0.09844457807716511	0.27335833352847705	0.3601301515357302	0.7187498057654051
AB	diabetes	-0.1493854347869579	0.26971735426300264	-0.5538591878715059	0.5796752177853113
AB	overweight	-0.24949019979092443	0.3545157091406817	-0.7037493497697722	0.48158888149240847
AB_pos	(Intercept)	-3.9825480548860512	0.38266347756344427	-10.407442278642227	2.292995540619381e-25
AB_pos	sex	0.19369022748746087	0.20223190243537423	0.9577629699120149	0.33818229571652075
AB_pos	age	0.011232411211537487	0.0050659682286104	2.217228909589618	0.026607453004432284
AB_pos	hypertension	0.20893910916578565	0.41036504717737	0.5091542532750772	0.6106441059462218
AB_pos	cv_diseases	-0.5295541651185283	0.4232185595815244	-1.2512545896903666	0.2108416073080477
AB_pos	resp_diseases	0.10478126738806119	0.27952810080313617	0.37485056810748235	0.7077716037888419
AB_pos	diabetes	-0.078460084859599	0.27351754752732704	-0.28685576325504336	0.7742227633778691
AB_pos	overweight	-0.3635514886853609	0.37059825710054917	-0.9809854248362632	0.3265999291288003
B	(Intercept)	-1.523449980406773	0.18675686010392709	-8.157397696443377	3.4231979572349416e-16
B	sex	-0.13943839464705143	0.1065932926730198	-1.3081347911334873	0.190827594814124
B	age	6.179794069916477e-4	0.0025928294480027886	0.2383417110090548	0.8116160725998586
B	hypertension	0.25189578279466923	0.19266642304950993	1.3074192109225955	0.19107037635194943
B	cv_diseases	-0.12205749000209855	0.19985356038603122	-0.6107346287268334	0.5413752769931826
B	resp_diseases	0.055317648887795806	0.14249209889240513	0.3882155524255826	0.6978565248216869
B	diabetes	-0.3467674008791293	0.14411001075567098	-2.4062686489355034	0.016116408253368908
B	overweight	0.02684612476922545	0.1686470911718255	0.15918522271975252	0.8735229459686389
B_neg	(Intercept)	-4.336308148295404	0.6118819028682004	-7.086838371863805	1.37210472169465e-12
B_neg	sex	-0.40347666844007907	0.3479320178157631	-1.1596422513024598	0.24619449112432729
B_neg	age	0.017252950586196834	0.008234971615214793	2.0950831881825285	0.036163598144284874
B_neg	hypertension	0.3356744022814875	0.6636770601967783	0.5057797269382205	0.6130112919082464
B_neg	cv_diseases	-0.2985844432652852	0.6743691739323502	-0.44276110891041104	0.6579385364258168
B_neg	resp_diseases	-0.3171858523665699	0.45404394823715927	-0.6985796278048733	0.4848147788746505
B_neg	diabetes	-0.9564994804961169	0.5142208698689285	-1.8600946335373794	0.06287213831245925
B_neg	overweight	-0.15681612756137342	0.639734530007149	-0.24512687717453835	0.8063581926727328
B_pos	(Intercept)	-1.6177358577244902	0.1934246556616793	-8.363648637193831	6.080783483815201e-17
B_pos	sex	-0.11005923726850511	0.11035169567594331	-0.9973497606389572	0.318594768083999
B_pos	age	-0.001206709355243186	0.002690184921890892	-0.4485600024830291	0.6537490925647527
B_pos	hypertension	0.24068607579388704	0.198804794965932	1.210665345547284	0.2260236890495278
B_pos	cv_diseases	-0.10177101441973282	0.20672404765694805	-0.4923037042532109	0.6225046618773812
B_pos	resp_diseases	0.09474476070136786	0.1479143195524687	0.6405381236112144	0.5218228122804108
B_pos	diabetes	-0.2795235992804476	0.14861995460792626	-1.8807945407994355	0.0599998730817064
B_pos	overweight	0.03942385072719363	0.17294652497963442	0.2279539917430318	0.8196820081332324
O	(Intercept)	-0.05324385622415561	0.13630783059465584	-0.39061480174597624	0.6960819830034013
O	sex	0.22153789856887618	0.07692341139185185	2.8799801589707275	0.003977001980825164
O	age	-0.0067660485569518685	0.0018932636612644766	-3.5737487046220213	3.51906677241502e-4
O	hypertension	0.08688220189657615	0.1375181252662641	0.6317872769742452	0.5275258884691898
O	cv_diseases	-0.07114667707182099	0.14217237637723998	-0.5004254615751832	0.6167755287867679
O	resp_diseases	-0.15230010537197486	0.1037650287566461	-1.4677402126409578	0.14217480318596637
O	diabetes	0.25252800714056517	0.10382532328362587	2.432239064170494	0.015005799359542894
O	overweight	0.23259710539141806	0.12197608003596977	1.9069075291059283	0.056532563032636894
O_neg	(Intercept)	-2.768905898096903	0.36724894784280093	-7.539588375572744	4.714572126021169e-14
O_neg	sex	-0.3456350254353582	0.216332747140082	-1.5977009029129976	0.1101095577326562
O_neg	age	-0.0030568223733927805	0.0052331729577519285	-0.5841240864903371	0.559136830690091
O_neg	hypertension	1.12196982227719	0.49210779639793323	2.279926939767342	0.02261202197976002
O_neg	cv_diseases	-0.6069289496360072	0.5063118084744134	-1.1987256458915445	0.2306346425209724
O_neg	resp_diseases	-0.11323427507257121	0.2831863597910533	-0.39985780090580697	0.6892612551184488
O_neg	diabetes	-0.1610284920782412	0.2782201266167445	-0.5787808884871299	0.5627370282189335
O_neg	overweight	-0.3147876590694818	0.3578888805441016	-0.8795681458191922	0.3790933014828112
O_pos	(Intercept)	-0.2689872175691418	0.1369489585748818	-1.96414211811668	0.049513613028359736
O_pos	sex	0.2687911117890311	0.07733652251431904	3.475603803355184	5.097046914129659e-4
O_pos	age	-0.006437013156091654	0.0019012447492657068	-3.385683594170471	7.100119712810651e-4
O_pos	hypertension	-0.03675597890313216	0.13836723391310968	-0.265640772483851	0.7905158814796687
O_pos	cv_diseases	-0.02137637505432745	0.14287091291253004	-0.14962020343087415	0.8810642675806891
O_pos	resp_diseases	-0.13842364013684264	0.10440075795131736	-1.3258873101418511	0.18487702691432772
O_pos	diabetes	0.28092421312756866	0.1046603966967735	2.684150089182961	0.00727144546574471
O_pos	overweight	0.27476055581905845	0.12221205870925392	2.248227864917339	0.024561663724158512
