blood_group	term	estimate	std.error	statistic	p.value	blood_group_type
A_neg	age	-0.008424201793435665	0.007937757338602006	-1.0612823539550695	0.2885616026440375	ABO+Rh
A_neg	hypertension	-0.8953363745930991	0.5113307325748843	-1.7509926893783512	0.07994716929941179	ABO+Rh
A_neg	diabetes	0.8804333178628305	0.4424567299877717	1.9898743949202973	0.04660477360960612	ABO+Rh
A_neg	overweight	-1.196325544825947	0.7502654515096245	-1.5945363636547516	0.11081595282180043	ABO+Rh
A_neg	resp_diseases	-0.18254132103144483	0.4185039457223216	-0.4361758661949664	0.6627091365396309	ABO+Rh
A_neg	cv_diseases	0.8515996786191343	0.5069156018398543	1.6799634407152717	0.09296442908625308	ABO+Rh
A_pos	(Intercept)	-1.3567100387126685	0.21229110860766345	-6.390800102796641	1.6501999341571487e-10	ABO+Rh
A_pos	sex	-0.0874219105005661	0.11655437327907482	-0.7500525981229833	0.45322302685119675	ABO+Rh
A_pos	age	0.009443253479090358	0.002904607698531329	3.251128709692946	0.0011494780642470148	ABO+Rh
A_pos	hypertension	-0.11965501453634003	0.2152466419364106	-0.5558972416939689	0.5782811039709961	ABO+Rh
A_pos	diabetes	-0.08590738321867687	0.15502572064523973	-0.554149226729073	0.5794767229225121	ABO+Rh
A_pos	overweight	-0.1946097207705785	0.188377914224111	-1.0330814075107213	0.30156580340674777	ABO+Rh
A_pos	resp_diseases	0.25579854992741735	0.15955273586959398	1.603222586772108	0.1088855205111292	ABO+Rh
A_pos	cv_diseases	-0.024412424250356377	0.22022361476495653	-0.11085289048775093	0.911733003218787	ABO+Rh
AB_neg	(Intercept)	-8.933107956806285	2.2627567607336068	-3.9478869809718695	7.884400771780862e-5	ABO+Rh
AB_neg	sex	1.6643571058475046	1.1478217347797444	1.4500135826116574	0.14705473159412077	ABO+Rh
AB_neg	age	0.018283665617969742	0.022287683393845178	0.8203484092482596	0.4120175169383956	ABO+Rh
AB_neg	hypertension	-1.4249944931776355	1.4913245601250047	-0.9555227153626376	0.33931342371430784	ABO+Rh
AB_neg	diabetes	-17.082342097592157	2150.159069248788	-0.007944687600978426	0.993661123105784	ABO+Rh
AB_neg	overweight	1.9207633417611265	1.3998205284308038	1.3721497168742758	0.17001683504481147	ABO+Rh
AB_neg	resp_diseases	-0.12455592808536795	1.403390114974832	-0.08875360226375949	0.9292777321334363	ABO+Rh
AB_neg	cv_diseases	0.09820224380394406	1.46317508922098	0.0671158527283489	0.9464894736991472	ABO+Rh
AB_pos	(Intercept)	-3.5066945660642523	0.4804241448658839	-7.2991638816221185	2.895614588956058e-13	ABO+Rh
AB_pos	sex	0.02768954729841354	0.2641894337285518	0.10480944263222833	0.9165270171841307	ABO+Rh
AB_pos	age	0.012855111276362812	0.006365999098401685	2.0193391606967634	0.04345198028194463	ABO+Rh
AB_pos	hypertension	-0.6039645881479264	0.4905907016927691	-1.2310966882657255	0.21828670402412603	ABO+Rh
AB_pos	diabetes	-0.07383074402232802	0.39271688762070694	-0.18799992144375285	0.850876712761171	ABO+Rh
AB_pos	overweight	-0.4252701490586684	0.5489236123105384	-0.7747346616564993	0.4384964648596531	ABO+Rh
AB_pos	resp_diseases	-0.1132873963256063	0.3625898663940803	-0.31243949935015575	0.7547065355913867	ABO+Rh
AB_pos	cv_diseases	-0.07058186455073887	0.47367596056226396	-0.14900875372048988	0.8815467256130097	ABO+Rh
B_neg	(Intercept)	-4.172113194191932	0.8038258384741264	-5.190319836087509	2.0993316362459795e-7	ABO+Rh
B_neg	sex	-0.4038118142315655	0.46221621127037016	-0.8736426901205301	0.38231287007954345	ABO+Rh
B_neg	age	0.017796478094671622	0.010686707492712581	1.6652910268955425	0.09585470786433203	ABO+Rh
B_neg	hypertension	-0.214152646927702	0.8709536700278575	-0.24588293763186314	0.8057728522260021	ABO+Rh
B_neg	diabetes	-0.7640312438682341	0.7367996930732434	-1.036959232001585	0.299754857228674	ABO+Rh
B_neg	overweight	-0.5851507513185478	1.0719905837605852	-0.5458543761324991	0.5851660419898659	ABO+Rh
B_neg	resp_diseases	-0.4273580700143335	0.621800977232879	-0.6872907661164352	0.49189951651214425	ABO+Rh
B_neg	cv_diseases	-0.05769027365415269	0.83106455853737915	-0.06941731910176016	0.9446574435231124	ABO+Rh
B_pos	(Intercept)	-1.4628586326752742	0.2565908884422956	-5.701132419611441	1.1901413687738051e-8	ABO+Rh
B_pos	sex	-0.10433476254997208	0.14728375771012955	-0.708392861318179	0.4787013243275043	ABO+Rh
B_pos	age	-0.0047443920635696305	0.0035538480813540043	-1.3350013717418199	0.1818758974913846	ABO+Rh
B_pos	hypertension	0.05354879035268849	0.25888715447901156	0.20684220683119983	0.8361330925733236	ABO+Rh
B_pos	diabetes	-0.3900915313873037	0.20043954191234886	-1.946180517404538	0.05163305935092341	ABO+Rh
B_pos	overweight	0.09732531422897893	0.2298018433898815	0.4235184226257791	0.6719170602672273	ABO+Rh
B_pos	resp_diseases	0.0025186898749141296	0.1974805480682251	0.012754116289184993	0.9898239634119649	ABO+Rh
B_pos	cv_diseases	0.3131175500512302	0.2641465650150604	1.1853932305853674	0.23586200698408546	ABO+Rh
O_neg	(Intercept)	-3.4060726841899727	0.5427883075939377	-6.275140117310837	3.493195673275757e-10	ABO+Rh
O_neg	sex	0.024305579229353908	0.3031913729724633	0.08016580086387026	0.9361053895489597	ABO+Rh
O_neg	age	-0.00488205143598191	0.0075108533337407855	-0.6499995698292249	0.515692499478309	ABO+Rh
O_neg	hypertension	2.123806088604931	1.0428797967275876	2.0364821480568907	0.041701963921150824	ABO+Rh
O_neg	diabetes	-0.1864562840968483	0.3865491414951678	-0.4823611388079598	0.6295494223317266	ABO+Rh
O_neg	overweight	-1.3590293432877543	0.7443210060613127	-1.8258645560458704	0.06787066627633061	ABO+Rh
O_neg	resp_diseases	-0.2256945830560158	0.40968407940714807	-0.5508990815132904	0.5817028571441318	ABO+Rh
O_neg	cv_diseases	-1.1691062419689435	1.0551364382358084	-1.1080142810001834	0.26785564836776976	ABO+Rh
O_pos	(Intercept)	0.02306915491786804	0.18658821779771526	0.12363671827809547	0.9016029185374244	ABO+Rh
O_pos	sex	0.11856560265814967	0.10499535272204669	1.1292461959914302	0.25879399099415273	ABO+Rh
O_pos	age	-0.007061333533257531	0.002569515023846061	-2.748119185031305	0.005993821681956677	ABO+Rh
O_pos	hypertension	0.15057320792343076	0.1973896916105117	0.762822043516543	0.44556953289914997	ABO+Rh
O_pos	diabetes	0.27873671421011015	0.1425796979631168	1.954953743009156	0.050588530298741545	ABO+Rh
O_pos	overweight	0.3545287886967985	0.1676658412229394	2.114496227203453	0.034472906662235236	ABO+Rh
O_pos	resp_diseases	-0.11089934704292541	0.14288325824196813	-0.7761535424613637	0.4376583329397227	ABO+Rh
O_pos	cv_diseases	-0.2174175494839818	0.1993008145035834	-1.0909014598135156	0.2753162447145548	ABO+Rh
